,timestamp,open,high,low,close,volume
174,2022-11-11,156.49,158.88,154.7,154.89,3714598
175,2022-11-10,152.79,155.79,151.31,154.75,4701614
176,2022-11-09,149.47,149.47,145.66,145.86,2425496
177,2022-11-08,147.44,151.34,147.1375,150.2,3846057
178,2022-11-07,146.2,147.54,143.76,146.98,2917984
179,2022-11-04,142.4,146.356,141.0,144.72,3322250
180,2022-11-03,141.09,142.2,138.77,139.31,3960528
181,2022-11-02,146.58,149.03,143.3701,143.5,2852089
182,2022-11-01,149.96,150.63,146.63,147.08,2675699
183,2022-10-31,150.0,150.3,148.32,148.45,3043149
184,2022-10-28,146.56,150.91,146.05,150.44,3383315
185,2022-10-27,148.44,149.71,146.41,146.97,2101525
186,2022-10-26,147.56,149.5,146.47,146.88,3560551
187,2022-10-25,142.48,147.44,141.6,147.02,3889104
188,2022-10-24,141.3,143.79,140.37,141.63,4299569
189,2022-10-21,140.99,141.32,132.21,140.04,11755398
190,2022-10-20,144.0,147.315,142.15,142.42,4319336
191,2022-10-19,145.43,147.07,142.6,143.97,2804054
192,2022-10-18,146.13,147.05,143.55,145.99,3963269
193,2022-10-17,140.58,142.22,140.09,141.54,3139254
194,2022-10-14,142.96,143.88,136.14,136.81,3873599
195,2022-10-13,131.35,142.55,130.65,141.55,5232724
196,2022-10-12,137.31,138.45,136.11,136.74,2397555
197,2022-10-11,136.37,139.21,135.39,137.35,2588904
198,2022-10-10,140.01,140.38,136.65,137.51,2893409
199,2022-10-07,140.42,141.29,138.08,139.0,2579628
200,2022-10-06,143.05,145.06,142.13,142.38,2526239
201,2022-10-05,142.92,145.29,142.08,144.37,2073878
202,2022-10-04,143.03,145.55,143.03,145.46,2408884
203,2022-10-03,137.95,140.77,134.92,140.02,2677118
204,2022-09-30,137.4,138.67,134.615,134.91,3717212
205,2022-09-29,138.39,138.95,135.84,137.79,2280921
206,2022-09-28,138.5,141.18,136.52,140.56,5269635
207,2022-09-27,139.44,140.38,136.1,137.49,2828818
208,2022-09-26,140.04,141.29,136.695,137.45,3808706
209,2022-09-23,140.775,141.96,138.09,140.26,3035586
210,2022-09-22,148.82,148.89,142.465,143.03,3202885
211,2022-09-21,154.67,154.81,148.66,148.71,2599851
212,2022-09-20,153.58,154.59,152.13,153.48,1725941
213,2022-09-19,151.25,155.48,150.7,155.36,2472633
214,2022-09-16,154.08,154.08,150.51,153.08,6527339
215,2022-09-15,156.43,158.79,155.9,156.13,2371603
216,2022-09-14,156.18,157.555,153.5,156.3,2840430
217,2022-09-13,158.14,159.81,154.84,155.35,3519831
218,2022-09-12,159.5,163.45,159.34,162.45,4146273
219,2022-09-09,154.45,158.59,154.3,158.44,3543560
220,2022-09-08,150.92,153.69,149.515,153.52,3399245
221,2022-09-07,148.4,152.7,148.38,152.25,1766424
222,2022-09-06,150.0,151.31,146.55,148.6,2741951
223,2022-09-02,153.48,153.98,148.93,149.79,2028573
224,2022-09-01,150.82,151.37,147.65,151.11,2425163
225,2022-08-31,155.56,156.37,151.84,152.0,3271569
226,2022-08-30,155.64,156.12,152.9,154.66,2104499
227,2022-08-29,155.88,156.51,154.41,154.54,2690548
228,2022-08-26,163.21,163.59,157.19,157.31,2373705
229,2022-08-25,160.0,162.33,158.78,162.23,1936300
230,2022-08-24,157.03,159.56,156.29,159.13,2029412
231,2022-08-23,158.0,159.6,157.2,157.33,2885214
232,2022-08-22,158.98,159.19,156.98,157.7,1969338
233,2022-08-19,163.5,163.93,162.01,162.24,1895447
234,2022-08-18,163.93,164.99,163.335,164.65,1397717
235,2022-08-17,163.3,164.48,162.2,163.9,1804125
236,2022-08-16,165.0,165.98,163.96,165.35,1876086
237,2022-08-15,164.28,166.06,163.76,165.4,1852804
238,2022-08-12,164.47,166.0,163.28,165.84,1942595
239,2022-08-11,164.36,164.9239,162.18,162.99,1968206
240,2022-08-10,161.77,164.21,161.64,162.44,3225372
241,2022-08-09,157.64,158.94,157.27,158.8,2997862
242,2022-08-08,159.0,160.79,156.94,157.28,3080917
243,2022-08-05,156.48,158.039,156.0,157.51,2513764
244,2022-08-04,156.02,157.71,155.26,156.87,3693423
245,2022-08-03,154.07,156.04,153.31,155.43,2609272
246,2022-08-02,152.02,153.3,150.84,151.6,2563111
247,2022-08-01,152.84,154.77,151.802,153.33,2295687
248,2022-07-29,152.37,154.38,151.29,154.02,3198134
249,2022-07-28,151.76,152.65,147.54,152.14,3587931
250,2022-07-27,151.6,152.72,147.27,151.63,5029067
251,2022-07-26,152.73,153.5,148.84,149.83,2812658
252,2022-07-25,154.25,154.78,151.2134,153.79,4213808
253,2022-07-22,159.01,160.88,152.62,153.01,9298440
254,2022-07-21,148.21,150.33,146.445,150.18,4683039
255,2022-07-20,146.87,149.1,146.37,148.93,2802253
256,2022-07-19,144.4,147.93,144.4,147.78,3372275
257,2022-07-18,144.34,146.05,141.52,142.33,3330344
258,2022-07-15,139.71,143.11,138.87,142.48,3296764
259,2022-07-14,135.7,137.24,134.12,136.48,4600268
260,2022-07-13,136.84,140.02,136.36,139.4,2753776
261,2022-07-12,137.53,141.89,137.0601,139.18,4047613
262,2022-07-11,140.47,142.31,139.835,140.58,2377876
263,2022-07-08,141.74,143.11,139.72,141.76,3631943
264,2022-07-07,140.18,142.17,139.15,141.03,4258109
265,2022-07-06,139.29,140.5,137.85,138.15,4401364
266,2022-07-05,137.22,139.65,135.65,139.65,4057491
267,2022-07-01,138.07,140.89,137.47,140.4,2625268
268,2022-06-30,136.7,139.87,134.3,138.62,4123483
269,2022-06-29,141.65,141.675,138.45,139.47,4164876
270,2022-06-28,146.08,149.51,141.85,142.19,2720704
271,2022-06-27,147.99,148.77,143.95,144.29,3151538
272,2022-06-24,141.63,146.27,141.0,146.15,8957200
273,2022-06-23,144.52,144.63,139.47,141.65,3915027
274,2022-06-22,142.23,146.35,141.341,144.39,3419621
275,2022-06-21,148.7,148.7,144.16,144.76,3518802
276,2022-06-17,138.0,145.5604,137.59,144.18,10033581
277,2022-06-16,142.59,142.6,136.49,137.5,4815069
278,2022-06-15,146.69,147.885,143.44,146.22,3327823
279,2022-06-14,145.95,147.4,143.25,144.6,3574754
280,2022-06-13,149.86,151.03,145.38,146.29,4156526
281,2022-06-10,157.26,157.875,154.36,154.42,2733681
282,2022-06-09,166.22,166.57,160.93,160.98,2274633
283,2022-06-08,166.75,168.64,165.19,165.96,2313907
284,2022-06-07,164.64,169.4826,164.45,168.69,2083115
285,2022-06-06,169.1,170.259,166.27,167.02,1486149
286,2022-06-03,166.9,168.04,165.98,166.83,1390842
287,2022-06-02,166.14,169.19,165.93,169.14,1707213
288,2022-06-01,168.7,169.3688,163.84,165.76,2276376
289,2022-05-31,167.94,170.78,167.04,168.82,4123507
290,2022-05-27,167.08,169.68,166.04,169.6,2157655
291,2022-05-26,162.7,166.77,162.7,165.37,2463957
292,2022-05-25,157.14,161.76,156.075,160.51,4380974
293,2022-05-24,157.29,157.97,152.9232,155.63,2817844
294,2022-05-23,156.61,159.56,156.02,159.04,2726581
295,2022-05-20,154.35,154.8,149.71,153.24,2982520
296,2022-05-19,153.57,156.46,153.25,154.0,2768341
297,2022-05-18,160.79,160.85,155.4,156.1,2697883
298,2022-05-17,161.07,162.7634,158.4,161.85,2928066
299,2022-05-16,157.41,158.74,154.32,156.43,2811534
300,2022-05-13,155.96,160.09,155.88,158.75,3625115
301,2022-05-12,155.6,157.155,149.88,153.27,5314843
302,2022-05-11,161.73,164.94,159.04,159.39,2644292
303,2022-05-10,163.42,164.73,158.39,161.83,3015024
304,2022-05-09,165.03,166.02,160.38,161.02,4485182
305,2022-05-06,169.17,169.99,165.01,167.15,3129999
306,2022-05-05,176.64,176.76,169.33,171.01,2987115
307,2022-05-04,172.22,178.17,171.2,177.82,2925954
308,2022-05-03,173.0,174.0,170.325,172.11,3152328
309,2022-05-02,174.652,174.88,167.51,171.62,3881837
310,2022-04-29,180.09,182.305,174.33,174.71,3210677
311,2022-04-28,180.35,183.89,177.61,181.98,2706061
312,2022-04-27,177.66,179.41,175.5,177.63,4085821
313,2022-04-26,183.25,183.91,178.54,178.65,3713923
314,2022-04-25,179.98,184.26,177.99,184.1,4408872
315,2022-04-22,185.43,185.55,180.32,180.54,4373711
316,2022-04-21,190.94,192.42,184.5801,185.74,3973185
317,2022-04-20,188.33,190.15,187.64,188.46,1980968
318,2022-04-19,185.01,188.0876,184.71,187.17,2713778
319,2022-04-18,181.33,185.89,181.0,184.48,2182651
320,2022-04-14,179.27,182.47,178.68,181.16,2667102
321,2022-04-13,174.23,180.02,174.0,179.59,2980783
322,2022-04-12,176.57,179.25,174.7101,175.54,4348860
323,2022-04-11,181.06,182.44,177.25,177.57,4816967
324,2022-04-08,183.0,186.72,181.93,183.7,3075707
325,2022-04-07,181.52,183.265,179.11,182.39,4062440
326,2022-04-06,184.49,184.87,181.73,183.71,3143308
327,2022-04-05,187.49,190.84,184.8,185.4,2973162
328,2022-04-04,187.62,188.5,185.59,187.66,2971519
329,2022-04-01,188.2,189.4158,186.28,187.17,2646976
330,2022-03-31,189.53,191.1087,186.94,187.0,3801799
331,2022-03-30,191.39,192.1,188.4,189.76,2278190
332,2022-03-29,192.33,194.0,190.36,190.94,2764127
333,2022-03-28,189.95,189.95,186.29,189.7,3043718
334,2022-03-25,190.41,191.26,189.0,190.28,1853855
335,2022-03-24,186.61,189.37,185.7,188.89,2424574
336,2022-03-23,188.83,189.62,185.18,186.02,3664595
337,2022-03-22,190.5,194.35,190.06,191.33,2935827
338,2022-03-21,190.77,191.5,187.56,189.09,3149290
339,2022-03-18,188.69,191.0,184.84,190.72,8673962
340,2022-03-17,180.18,187.71,180.06,186.97,6398861
341,2022-03-16,179.18,182.76,176.3,180.61,5239264
342,2022-03-15,173.59,178.295,173.37,176.04,3827346
343,2022-03-14,171.33,174.71,169.71,172.79,4614621
344,2022-03-11,171.75,172.31,167.63,167.9,3000007
345,2022-03-10,165.59,170.96,164.83,169.6,3841129
346,2022-03-09,168.02,170.73,166.71,168.65,4788406
347,2022-03-08,160.52,166.29,155.72,160.05,7058862
348,2022-03-07,170.13,170.755,159.08,159.13,7760413
349,2022-03-04,176.62,176.83,170.8205,172.95,5349824
350,2022-03-03,182.11,183.45,178.73,179.89,3339910
351,2022-03-02,179.79,182.24,178.1,180.31,4058834
352,2022-03-01,194.67,194.77,176.77,178.06,8562503
353,2022-02-28,189.63,195.13,189.23,194.54,5787757
354,2022-02-25,189.66,194.25,189.46,193.71,5426163
355,2022-02-24,180.47,188.5,179.05,188.35,5886604
356,2022-02-23,194.35,194.45,188.55,188.95,3562094
357,2022-02-22,195.18,196.15,191.75,192.44,3361897
358,2022-02-18,194.92,197.75,194.2,194.88,2806269
359,2022-02-17,195.63,197.38,194.27,195.71,3051685
360,2022-02-16,197.5,199.55,197.24,198.38,4122642
361,2022-02-15,194.65,198.36,194.18,197.98,4135150
362,2022-02-14,192.26,194.15,190.92,192.35,3841257
363,2022-02-11,195.43,197.2,190.45,191.81,4834921
364,2022-02-10,196.36,198.23,194.61,195.51,4511139
365,2022-02-09,194.3,198.72,194.3,196.4,4614173
366,2022-02-08,188.08,194.53,187.61,194.0,5133918
367,2022-02-07,185.63,188.91,184.75,187.87,3260818
368,2022-02-04,184.91,188.68,184.18,185.85,4075775
369,2022-02-03,184.8,185.8,182.3201,184.04,3381027
370,2022-02-02,182.51,184.58,181.64,184.16,2841396
371,2022-02-01,179.92,184.04,179.0,183.54,3471202
372,2022-01-31,175.91,180.13,175.22,179.82,5524258
373,2022-01-28,171.76,177.21,169.77,177.06,4271532
374,2022-01-27,176.7,178.2,170.63,171.9,3651426
375,2022-01-26,176.95,179.2247,173.03,175.32,8257282
376,2022-01-25,166.14,174.4696,159.66,173.11,13320820
377,2022-01-24,155.82,159.45,152.85,158.93,5406501
378,2022-01-21,159.95,161.8799,157.68,158.74,3779077
379,2022-01-20,161.12,164.57,159.462,160.92,4205598
380,2022-01-19,166.73,166.73,161.17,161.39,3547440
381,2022-01-18,167.91,168.94,164.84,166.17,4111163
382,2022-01-14,168.71,168.71,164.71,168.4,6508504
383,2022-01-13,174.92,176.375,172.85,173.29,3808846
384,2022-01-12,176.23,176.82,174.17,174.47,3224454
385,2022-01-11,174.54,175.72,172.49,175.38,2756586
386,2022-01-10,176.21,176.21,170.5,173.74,4269577
387,2022-01-07,172.49,175.36,171.8601,174.38,3043017
388,2022-01-06,172.54,173.69,169.75,172.9,2649471
389,2022-01-05,174.71,176.31,171.5,171.76,4491937
390,2022-01-04,169.72,174.05,169.6,173.61,4799729
391,2022-01-03,164.51,168.4,164.4,168.21,3126302
392,2021-12-31,164.1,165.17,163.25,163.6,1715404
393,2021-12-30,164.62,165.8,164.0,164.16,1633032
394,2021-12-29,164.62,164.93,163.26,163.83,2082161
395,2021-12-28,163.6,166.13,163.6,164.41,2035328
396,2021-12-27,165.0,165.0,162.5301,164.39,1688149
397,2021-12-23,163.86,166.3963,163.59,164.19,3140482
398,2021-12-22,160.53,163.17,160.45,162.47,2877654
399,2021-12-21,157.75,161.05,157.5201,160.91,3722732
