,timestamp,open,high,low,close,volume
81,2023-04-05,216.2,217.8791,211.55,213.53,4265252
82,2023-04-04,228.9,229.49,216.25,217.45,4282098
83,2023-04-03,230.01,233.85,228.86,229.87,2242533
84,2023-03-31,226.38,229.055,224.9,228.84,2746909
85,2023-03-30,225.05,226.344,223.99,224.54,1921317
86,2023-03-29,222.74,223.22,221.5009,223.0,1857436
87,2023-03-28,218.15,220.56,217.71,220.16,1801975
88,2023-03-27,214.93,218.96,213.92,218.0,3209536
89,2023-03-24,216.85,217.43,213.14,217.01,2977746
90,2023-03-23,220.51,225.3,217.6007,219.44,2957536
91,2023-03-22,225.17,226.59,219.86,219.95,2930156
92,2023-03-21,224.06,226.0,223.61,224.92,3074835
93,2023-03-20,217.35,221.87,216.48,220.31,3464160
94,2023-03-17,217.4,217.4,211.43,215.01,7203047
95,2023-03-16,215.67,219.81,213.32,218.71,3555109
96,2023-03-15,219.4,221.1834,212.57,217.26,5471675
97,2023-03-14,228.99,229.59,222.2,225.67,3754946
98,2023-03-13,222.58,228.33,221.54,224.7,4885063
99,2023-03-10,236.31,238.13,225.8,227.01,5767526
100,2023-03-09,248.95,250.13,240.605,240.96,2518845
101,2023-03-08,247.99,251.11,246.75,248.72,2068605
102,2023-03-07,254.05,254.75,245.9499,246.14,3018405
103,2023-03-06,255.65,255.7,251.58,253.98,2317075
104,2023-03-03,252.39,255.4,249.91,255.31,2314730
105,2023-03-02,246.51,252.49,246.13,252.18,2678457
106,2023-03-01,242.01,249.7,241.57,248.67,4117683
107,2023-02-28,240.94,241.1,238.71,239.55,2647745
108,2023-02-27,239.1,241.25,238.72,239.98,1721039
109,2023-02-24,235.23,236.69,233.02,236.17,2105656
110,2023-02-23,240.67,240.8297,235.6,237.95,3218961
111,2023-02-22,241.19,242.23,236.42,237.89,3145185
112,2023-02-21,244.5,248.0,239.75,240.71,3105908
113,2023-02-17,247.86,250.86,245.63,247.79,3759290
114,2023-02-16,246.5,248.53,244.52,246.52,1934871
115,2023-02-15,244.2,248.77,243.225,248.7,2399236
116,2023-02-14,247.01,247.31,241.65,244.36,2512857
117,2023-02-13,243.5,248.38,242.65,248.15,3068116
118,2023-02-10,246.28,248.63,244.64,247.67,2820453
119,2023-02-09,250.0,251.97,245.48,246.28,2464903
120,2023-02-08,248.1,251.56,247.08,248.87,2300252
121,2023-02-07,250.55,252.0,245.3503,249.66,3467883
122,2023-02-06,248.11,252.14,248.0,251.42,3528766
123,2023-02-03,244.0,250.95,243.1268,247.76,4134653
124,2023-02-02,249.33,249.53,241.8,244.9,6130329
125,2023-02-01,251.75,252.7,245.31,249.54,6022012
126,2023-01-31,257.0,257.39,246.41,252.29,10992111
127,2023-01-30,263.34,264.9999,261.31,261.5,3426868
128,2023-01-27,262.46,266.04,262.12,264.54,2782988
129,2023-01-26,260.0,262.26,256.8913,262.12,2677234
130,2023-01-25,254.53,259.185,254.32,258.44,2424912
131,2023-01-24,252.88,259.0474,249.75,257.61,3505069
132,2023-01-23,250.75,253.68,249.27,252.7,2610238
133,2023-01-20,246.87,249.92,244.76,249.71,2964106
134,2023-01-19,250.48,251.25,244.3,245.75,4885201
135,2023-01-18,257.28,258.9099,252.07,252.82,3361371
136,2023-01-17,258.86,260.5,255.935,256.26,4100061
137,2023-01-13,256.8,258.575,255.23,258.46,3067830
138,2023-01-12,252.0,257.3799,251.01,255.07,3881458
139,2023-01-11,251.49,251.89,247.125,250.73,2402410
140,2023-01-10,246.95,250.84,246.45,250.51,3011934
141,2023-01-09,249.01,250.97,246.0,246.62,3417307
142,2023-01-06,242.89,249.91,242.24,248.86,3945070
143,2023-01-05,240.53,241.535,237.56,240.28,2355923
144,2023-01-04,240.0,242.13,238.55,241.36,2387868
145,2023-01-03,240.68,240.68,236.2,238.88,2651884
146,2022-12-30,239.39,240.16,237.7,239.56,1521214
147,2022-12-29,241.21,241.61,238.27,240.2,1652542
148,2022-12-28,243.14,243.82,238.275,239.38,2269966
149,2022-12-27,240.69,245.05,239.7223,243.14,3381464
150,2022-12-23,236.95,240.54,236.5,239.87,1960066
151,2022-12-22,240.15,240.8,233.04,237.54,3129995
152,2022-12-21,237.66,241.9101,237.66,241.73,4143626
153,2022-12-20,232.44,235.72,231.86,235.14,2649895
154,2022-12-19,233.9,236.93,230.93,232.29,2622367
155,2022-12-16,228.63,233.215,228.05,232.72,7610743
156,2022-12-15,232.16,232.93,227.72,230.66,2953761
157,2022-12-14,236.06,238.22,233.12,234.48,3513780
158,2022-12-13,237.82,237.92,232.13,235.49,2945191
159,2022-12-12,227.55,233.4,227.02,233.06,2709227
160,2022-12-09,232.0,232.81,227.19,227.29,2256976
161,2022-12-08,230.91,232.5,229.54,230.92,2189369
162,2022-12-07,227.0,229.84,225.78,228.98,3044194
163,2022-12-06,232.59,233.05,225.56,228.29,3633800
164,2022-12-05,234.8,235.91,232.26,232.57,2064513
165,2022-12-02,233.89,238.47,233.59,236.13,2218271
166,2022-12-01,236.9,237.0,231.94,235.69,2504686
167,2022-11-30,235.9,236.76,230.79,236.41,3849956
168,2022-11-29,233.3,235.73,231.55,235.12,2277925
169,2022-11-28,233.94,234.955,231.57,232.3,2862337
170,2022-11-25,237.0,237.49,235.19,235.7,1034795
171,2022-11-23,237.63,239.63,235.61,236.92,2311283
172,2022-11-22,234.0,237.48,233.36,237.26,2523669
173,2022-11-21,231.55,233.67,228.27,232.17,2522619
174,2022-11-18,230.85,231.84,227.63,231.43,2868714
175,2022-11-17,227.75,230.53,225.51,230.44,3257638
176,2022-11-16,234.0,234.66,230.8375,232.42,3061954
177,2022-11-15,237.1,239.4,232.745,234.59,3371100
178,2022-11-14,236.0,239.85,234.5,236.5,3217733
179,2022-11-11,233.0,238.4,231.9983,236.49,3585442
180,2022-11-10,232.22,232.59,226.33,232.45,4590846
181,2022-11-09,226.07,229.135,225.0624,225.54,6248284
182,2022-11-08,228.61,232.63,226.67,229.81,3676620
183,2022-11-07,228.0,229.13,222.67,228.61,3405597
184,2022-11-04,224.02,229.73,223.6,227.85,4973751
185,2022-11-03,211.54,221.79,211.3581,219.26,3570445
186,2022-11-02,217.6,221.6961,213.93,214.54,3150919
187,2022-11-01,218.63,219.4687,216.71,218.5,2717516
188,2022-10-31,215.34,218.8688,215.01,216.46,3786144
189,2022-10-28,212.5,219.5,211.21,219.34,5161042
190,2022-10-27,210.15,217.13,207.37,212.14,7872157
191,2022-10-26,198.3,199.58,194.57,196.96,3547951
192,2022-10-25,190.29,195.67,188.92,194.84,2545049
193,2022-10-24,188.65,192.14,188.45,191.3,2919594
194,2022-10-21,179.73,190.41,179.21,190.22,3483823
195,2022-10-20,184.54,185.74,180.46,180.54,2953856
196,2022-10-19,182.94,185.7,182.0,184.41,2088798
197,2022-10-18,184.9,185.53,180.91,183.55,2674034
198,2022-10-17,182.3,184.31,179.2,180.8,2940176
199,2022-10-14,183.75,184.33,177.53,178.19,2830734
200,2022-10-13,173.75,184.95,172.705,183.14,3745930
201,2022-10-12,179.48,181.12,178.78,179.5,2260826
202,2022-10-11,176.82,183.08,176.67,179.75,2542475
203,2022-10-10,179.81,181.16,176.07,178.67,2634055
204,2022-10-07,176.72,178.955,175.14,177.55,2759237
205,2022-10-06,177.41,180.98,176.89,178.81,2415113
206,2022-10-05,177.15,180.26,176.6889,178.38,3067477
207,2022-10-04,174.3,180.19,174.21,179.63,4008183
208,2022-10-03,167.43,173.365,166.05,171.23,3444727
209,2022-09-30,165.89,167.78,163.89,164.08,2963239
210,2022-09-29,165.7,166.59,163.54,165.9,3518214
211,2022-09-28,164.5,168.48,163.54,167.76,3694755
212,2022-09-27,164.46,164.568,160.6,162.44,2753514
213,2022-09-26,164.0,165.8499,162.22,162.62,3213409
214,2022-09-23,168.66,169.44,161.73,164.24,4047222
215,2022-09-22,172.7,174.62,170.29,170.55,2503556
216,2022-09-21,179.28,180.49,171.88,171.95,4061902
217,2022-09-20,180.59,180.72,176.311,177.99,2512363
218,2022-09-19,177.25,182.73,176.8,182.11,2923828
219,2022-09-16,180.0,180.34,177.765,179.47,5088335
220,2022-09-15,184.67,186.5409,181.68,182.49,1933126
221,2022-09-14,183.92,185.14,181.87,184.65,2295076
222,2022-09-13,187.85,190.05,183.5,184.31,2207621
223,2022-09-12,190.85,192.7,190.61,192.4,1937224
224,2022-09-09,187.55,189.76,187.215,189.49,2279841
225,2022-09-08,179.68,183.28,178.08,183.15,2245727
226,2022-09-07,179.11,181.8384,178.19,180.86,2167029
227,2022-09-06,182.9,183.66,179.59,180.66,2113933
228,2022-09-02,184.85,185.74,179.85,180.83,2185474
229,2022-09-01,182.27,183.21,180.1,182.44,2686280
230,2022-08-31,186.63,188.06,184.5,184.71,2656561
231,2022-08-30,191.5,191.96,184.5924,186.94,2691218
232,2022-08-29,190.0,193.169,189.0,191.78,1982409
233,2022-08-26,199.4,200.3677,191.73,191.92,2560386
234,2022-08-25,195.49,198.91,194.57,198.88,1888732
235,2022-08-24,197.56,198.68,193.45,194.16,2503442
236,2022-08-23,192.75,198.14,192.48,197.21,2445082
237,2022-08-22,193.11,193.93,191.5512,191.76,2008855
238,2022-08-19,195.27,197.22,193.81,195.6,2003565
239,2022-08-18,197.05,197.63,195.245,197.35,1750888
240,2022-08-17,195.0,196.9,193.87,195.93,1576440
241,2022-08-16,195.32,198.4,194.95,197.52,1959335
242,2022-08-15,193.4,196.5,193.07,195.95,1752584
243,2022-08-12,194.89,196.97,193.8,196.84,1864797
244,2022-08-11,192.83,195.58,191.91,194.0,2538990
245,2022-08-10,188.73,191.52,187.45,190.72,2304657
246,2022-08-09,185.95,187.88,185.16,186.03,2460002
247,2022-08-08,186.77,188.0,184.16,185.81,2655592
248,2022-08-05,183.58,186.1,183.23,185.39,1908521
249,2022-08-04,182.86,185.9311,181.12,183.64,2478858
250,2022-08-03,183.32,185.44,181.6,182.87,4155892
251,2022-08-02,188.0,189.47,183.16,183.51,8193096
252,2022-08-01,195.08,197.19,193.4,194.86,3185132
253,2022-07-29,189.19,199.49,189.12,198.25,5188148
254,2022-07-28,186.85,189.52,184.2,187.84,2229204
255,2022-07-27,182.92,186.18,180.32,185.25,1856625
256,2022-07-26,181.16,183.645,180.58,181.23,1767673
257,2022-07-25,179.17,182.6,177.765,181.81,1845604
258,2022-07-22,181.49,182.8,177.34,178.62,1961489
259,2022-07-21,178.42,181.07,176.48,180.99,2214529
260,2022-07-20,178.78,180.8,177.065,179.97,2176090
261,2022-07-19,173.9,179.695,172.884,179.49,2671398
262,2022-07-18,176.13,176.7,172.71,173.49,2476409
263,2022-07-15,172.25,173.38,169.2,173.38,2282108
264,2022-07-14,169.75,170.7,167.08,169.94,2531232
265,2022-07-13,172.25,175.25,171.86,173.87,2389041
266,2022-07-12,174.74,177.24,172.6,174.49,2718396
267,2022-07-11,177.41,179.77,174.62,175.02,2773877
268,2022-07-08,180.23,181.24,176.39,179.1,2491087
269,2022-07-07,182.5,182.5,176.3301,180.28,4677626
270,2022-07-06,173.48,174.67,169.29,172.31,3190582
271,2022-07-05,173.77,174.42,170.595,173.76,3725409
272,2022-07-01,179.31,181.32,173.72,178.29,3423158
273,2022-06-30,180.26,182.14,177.12,178.76,4197106
274,2022-06-29,187.32,187.57,182.13,183.48,2436919
275,2022-06-28,189.97,193.1,187.43,187.44,3327704
276,2022-06-27,188.08,190.08,185.82,187.59,3061090
277,2022-06-24,181.34,185.6,179.37,185.49,4868921
278,2022-06-23,186.58,187.23,176.02,178.67,6667926
279,2022-06-22,190.0,192.79,187.705,187.83,4012246
280,2022-06-21,197.1,198.42,193.87,196.37,2755355
281,2022-06-17,195.68,197.74,190.87,192.64,7226161
282,2022-06-16,201.07,201.25,193.25,194.79,4789903
283,2022-06-15,207.48,208.65,203.13,206.0,2343231
284,2022-06-14,208.06,209.73,205.27,206.69,2359013
285,2022-06-13,209.58,209.87,204.9,206.88,3559596
286,2022-06-10,219.5,220.22,215.01,215.18,2605398
287,2022-06-09,227.43,228.211,223.62,223.67,3047339
288,2022-06-08,225.29,232.35,224.62,229.8,4171344
289,2022-06-07,222.0,227.27,221.65,227.1,1799081
290,2022-06-06,222.9,224.763,222.25,223.63,1565510
291,2022-06-03,218.25,224.1,218.25,222.9,2222739
292,2022-06-02,219.59,220.84,217.25,220.0,1784213
293,2022-06-01,218.46,219.0,214.3,217.57,2314030
294,2022-05-31,214.79,218.09,213.49,215.85,3773508
295,2022-05-27,215.0,217.63,214.16,217.14,2020431
296,2022-05-26,211.55,213.635,210.4,212.99,2015957
297,2022-05-25,205.0,210.09,204.82,209.31,3080246
298,2022-05-24,202.01,205.7,201.29,205.65,2467967
299,2022-05-23,199.93,205.49,199.16,204.15,3246553
300,2022-05-20,206.45,206.63,194.04,197.82,5404500
301,2022-05-19,205.86,209.28,201.705,206.76,2887724
302,2022-05-18,213.84,217.9,207.52,207.94,4723284
303,2022-05-17,212.8,213.77,209.14,213.09,2275933
304,2022-05-16,205.02,209.21,203.68,207.19,2540976
305,2022-05-13,205.15,206.46,202.92,204.33,2323800
306,2022-05-12,203.61,205.34,199.295,203.03,3282072
307,2022-05-11,205.56,209.71,203.59,205.21,2552410
308,2022-05-10,208.24,209.52,201.39,202.99,3040550
309,2022-05-09,212.03,212.05,205.44,206.29,2929874
310,2022-05-06,217.01,217.01,210.35,214.65,2268402
311,2022-05-05,222.4,223.15,213.77,215.93,3005558
312,2022-05-04,214.95,223.29,213.825,222.59,3011762
313,2022-05-03,211.9,215.3636,210.79,213.62,2121130
314,2022-05-02,210.0,212.765,207.6601,212.07,2639509
315,2022-04-29,212.7,217.21,210.16,210.54,3404011
316,2022-04-28,207.425,212.96,202.0,212.44,6094275
317,2022-04-27,211.11,215.55,207.3,213.96,3358258
318,2022-04-26,216.13,218.2,209.35,210.3,4131462
319,2022-04-25,215.31,217.0,209.57,216.7,4145466
320,2022-04-22,228.4,229.79,215.6,216.3,5053696
321,2022-04-21,237.24,237.9,231.65,232.57,3571429
322,2022-04-20,233.55,236.37,232.58,235.08,2852750
323,2022-04-19,230.25,232.94,227.57,232.16,2689367
324,2022-04-18,228.0,234.375,228.0,229.92,3643982
325,2022-04-14,219.91,229.215,218.61,227.81,5337892
326,2022-04-13,216.93,219.68,216.4,218.27,1899033
327,2022-04-12,215.45,219.479,214.98,216.7,2508300
328,2022-04-11,217.03,218.76,215.75,216.05,2494683
329,2022-04-08,215.79,217.875,214.03,217.03,2450251
330,2022-04-07,215.46,216.31,213.5599,215.9,2253777
331,2022-04-06,215.12,217.13,213.545,216.21,2783265
332,2022-04-05,220.0,222.37,215.14,216.02,3553937
333,2022-04-04,219.16,221.3535,216.6,220.81,2181439
334,2022-04-01,224.35,225.52,218.165,219.77,2618304
335,2022-03-31,223.21,225.19,222.43,222.82,3152202
336,2022-03-30,222.0,225.8799,220.7,223.08,2507574
337,2022-03-29,220.8,221.43,216.54,221.04,3667796
338,2022-03-28,222.34,222.68,219.04,221.85,3072496
339,2022-03-25,222.09,223.8,221.14,223.36,1573270
340,2022-03-24,222.54,225.0,221.51,222.21,2110867
341,2022-03-23,221.69,224.78,221.69,222.17,2001683
342,2022-03-22,224.46,225.85,221.3375,222.71,2458264
343,2022-03-21,221.0,227.05,220.99,223.71,2881949
344,2022-03-18,219.48,221.7,218.0,220.91,4010016
345,2022-03-17,215.32,221.78,214.34,221.7,3600411
346,2022-03-16,217.5,219.49,212.32,216.08,4378696
347,2022-03-15,216.12,217.38,210.51,216.46,4364197
348,2022-03-14,216.3,218.4825,212.93,215.44,3530852
349,2022-03-11,212.3,217.77,212.3,214.83,4045469
350,2022-03-10,209.39,217.5201,208.18,211.79,4886260
351,2022-03-09,212.57,213.6,207.45,209.78,4798346
352,2022-03-08,203.87,214.89,203.0,210.0,9318635
353,2022-03-07,194.79,203.5,193.6233,196.7,6912345
354,2022-03-04,191.1,196.01,190.311,195.66,4334724
355,2022-03-03,193.32,196.58,192.34,194.85,4429733
356,2022-03-02,185.2,193.56,185.0,192.61,5849898
357,2022-03-01,187.77,188.22,180.64,182.83,5110599
358,2022-02-28,184.34,188.77,183.673,187.58,5168542
359,2022-02-25,184.94,187.925,184.12,187.06,3594597
360,2022-02-24,182.03,185.27,179.67,184.69,5919467
361,2022-02-23,191.72,192.319,186.37,186.67,3550352
362,2022-02-22,191.95,194.9,190.55,191.21,3325219
363,2022-02-18,193.36,195.62,191.175,191.95,4385219
364,2022-02-17,201.0,201.76,194.44,194.74,4699629
365,2022-02-16,203.11,205.415,203.0,203.64,2254146
366,2022-02-15,200.7,204.45,200.0096,203.41,2752883
367,2022-02-14,200.95,201.7,198.11,199.89,2730533
368,2022-02-11,203.42,204.65,200.13,201.24,3826746
369,2022-02-10,202.57,206.75,201.56,203.07,3538497
370,2022-02-09,202.64,204.1,202.086,203.6,2743749
371,2022-02-08,200.26,202.31,199.23,201.5,2407233
372,2022-02-07,198.84,201.53,198.0253,199.82,2402040
373,2022-02-04,200.21,201.005,196.49,198.41,3930776
374,2022-02-03,205.0,205.87,200.09,200.59,2748216
375,2022-02-02,203.2,205.8,201.4,204.94,3492301
376,2022-02-01,200.8,205.79,200.5371,205.35,4026634
377,2022-01-31,199.45,201.6,194.68,201.56,6178996
378,2022-01-28,205.59,208.0,196.8,201.16,10747251
379,2022-01-27,215.21,217.9,210.15,212.17,3683378
380,2022-01-26,215.0,218.88,212.24,214.29,3558514
381,2022-01-25,212.08,216.83,207.1,214.31,4554269
382,2022-01-24,211.16,214.97,206.66,214.33,5108332
383,2022-01-21,217.51,217.51,212.4196,214.09,3754746
384,2022-01-20,221.08,221.87,216.04,216.63,3545647
385,2022-01-19,229.66,229.81,220.93,221.66,4723980
386,2022-01-18,227.71,230.43,226.86,229.87,5348814
387,2022-01-14,224.72,229.64,223.5819,228.94,3970581
388,2022-01-13,222.89,227.88,222.64,227.0,5002349
389,2022-01-12,222.12,223.69,220.07,222.4,2506917
390,2022-01-11,222.0,222.09,216.59,219.95,2773749
391,2022-01-10,224.95,225.7532,220.6114,221.64,3734923
392,2022-01-07,222.5,225.97,222.23,224.19,3673408
393,2022-01-06,221.49,222.705,218.06,221.99,3913240
394,2022-01-05,218.18,223.36,218.18,219.75,5378170
395,2022-01-04,208.28,218.92,207.94,218.08,5242311
396,2022-01-03,207.33,208.6,205.8001,207.0,2056574
397,2021-12-31,206.2,207.74,205.67,206.74,1359840
398,2021-12-30,207.33,208.91,205.93,206.08,1465937
399,2021-12-29,206.27,208.55,206.08,207.33,1334998
