,timestamp,open,high,low,close,volume
0,2023-08-01,196.235,196.73,195.28,195.605,35281426
1,2023-07-31,196.06,196.49,195.26,196.45,38824113
2,2023-07-28,194.67,196.626,194.14,195.83,48291443
3,2023-07-27,196.02,197.2,192.55,193.22,47460180
4,2023-07-26,193.67,195.64,193.32,194.5,47471868
5,2023-07-25,193.33,194.44,192.915,193.62,37283201
6,2023-07-24,193.41,194.91,192.25,192.75,45505097
7,2023-07-21,194.1,194.97,191.23,191.94,71951683
8,2023-07-20,195.09,196.47,192.495,193.13,59581196
9,2023-07-19,193.1,198.23,192.65,195.1,80507323
10,2023-07-18,193.35,194.33,192.415,193.73,48353774
11,2023-07-17,191.9,194.32,191.81,193.99,50520159
12,2023-07-14,190.23,191.1799,189.63,190.69,41616242
13,2023-07-13,190.5,191.19,189.78,190.54,41342338
14,2023-07-12,189.68,191.7,188.47,189.77,60750248
15,2023-07-11,189.16,189.3,186.6,188.08,46638119
16,2023-07-10,189.26,189.99,187.035,188.61,59922163
17,2023-07-07,191.41,192.67,190.24,190.68,46814998
18,2023-07-06,189.84,192.02,189.2,191.81,45156009
19,2023-07-05,191.565,192.98,190.62,191.33,46920261
20,2023-07-03,193.78,193.88,191.76,192.46,31458198
21,2023-06-30,191.63,194.48,191.26,193.97,85213216
22,2023-06-29,189.08,190.07,188.94,189.59,46347308
23,2023-06-28,187.93,189.9,187.6,189.25,51216801
24,2023-06-27,185.89,188.39,185.67,188.06,50730846
25,2023-06-26,186.83,188.05,185.23,185.27,48088661
26,2023-06-23,185.55,187.56,185.01,186.68,53116996
27,2023-06-22,183.74,187.045,183.67,187.0,51245327
28,2023-06-21,184.9,185.41,182.5901,183.96,49515697
29,2023-06-20,184.41,186.1,184.41,185.01,49799092
30,2023-06-16,186.73,186.99,184.27,184.92,101256225
31,2023-06-15,183.96,186.52,183.78,186.01,65433166
32,2023-06-14,183.37,184.39,182.02,183.95,57462882
33,2023-06-13,182.8,184.15,182.44,183.31,54929129
34,2023-06-12,181.27,183.89,180.97,183.79,54754995
35,2023-06-09,181.5,182.23,180.63,180.96,48899973
36,2023-06-08,177.895,180.84,177.46,180.57,50214881
37,2023-06-07,178.44,181.21,177.32,177.82,61944615
38,2023-06-06,179.965,180.12,177.43,179.21,64848374
39,2023-06-05,182.63,184.951,178.035,179.58,121946497
40,2023-06-02,181.03,181.78,179.26,180.95,61996913
41,2023-06-01,177.7,180.12,176.9306,180.09,68901809
42,2023-05-31,177.325,179.35,176.76,177.25,99313268
43,2023-05-30,176.96,178.99,176.57,177.3,55964401
44,2023-05-26,173.32,175.77,173.11,175.43,54834975
45,2023-05-25,172.41,173.895,171.69,172.99,56058258
46,2023-05-24,171.09,172.4183,170.52,171.84,45143488
47,2023-05-23,173.13,173.3794,171.275,171.56,50747263
48,2023-05-22,173.98,174.71,173.45,174.2,43570932
49,2023-05-19,176.39,176.39,174.94,175.16,55809475
50,2023-05-18,173.0,175.24,172.58,175.05,65496657
51,2023-05-17,171.71,172.925,170.4201,172.69,57951604
52,2023-05-16,171.99,173.1383,171.7991,172.07,42110293
53,2023-05-15,173.16,173.21,171.47,172.07,37266659
54,2023-05-12,173.62,174.06,171.0,172.57,45533138
55,2023-05-11,173.85,174.59,172.17,173.75,49514676
56,2023-05-10,173.02,174.03,171.9,173.555,53724501
57,2023-05-09,173.05,173.54,171.6,171.77,45326874
58,2023-05-08,172.48,173.85,172.11,173.5,55962793
59,2023-05-05,170.975,174.3,170.76,173.57,113453171
60,2023-05-04,164.89,167.04,164.31,165.79,81235427
61,2023-05-03,169.5,170.92,167.16,167.45,65136018
62,2023-05-02,170.09,170.35,167.54,168.54,48425696
63,2023-05-01,169.28,170.45,168.64,169.59,52472936
64,2023-04-28,168.49,169.85,167.8801,169.68,55275851
65,2023-04-27,165.19,168.56,165.19,168.41,64902329
66,2023-04-26,163.055,165.28,162.8,163.76,44105745
67,2023-04-25,165.19,166.305,163.73,163.77,48714063
68,2023-04-24,165.0,165.6,163.89,165.33,41949581
69,2023-04-21,165.05,166.4521,164.49,165.02,58337341
70,2023-04-20,166.09,167.87,165.56,166.65,52456377
71,2023-04-19,165.8,168.16,165.54,167.63,47720166
72,2023-04-18,166.1,167.41,165.65,166.47,49923008
73,2023-04-17,165.09,165.39,164.03,165.23,40713618
74,2023-04-14,164.59,166.32,163.82,165.21,49386480
75,2023-04-13,161.63,165.8,161.42,165.56,68445649
76,2023-04-12,161.22,162.06,159.78,160.1,50133062
77,2023-04-11,162.35,162.36,160.51,160.8,47644217
78,2023-04-10,161.42,162.03,160.08,162.03,47716882
79,2023-04-06,162.43,164.9584,162.0,164.66,45390123
80,2023-04-05,164.74,165.05,161.8,163.76,51511744
81,2023-04-04,166.595,166.84,165.11,165.63,46278295
82,2023-04-03,164.27,166.29,164.22,166.17,56976187
83,2023-03-31,162.44,165.0,161.91,164.9,68749792
84,2023-03-30,161.53,162.47,161.271,162.36,49501689
85,2023-03-29,159.37,161.05,159.35,160.77,51305691
86,2023-03-28,157.97,158.49,155.98,157.65,45992152
87,2023-03-27,159.94,160.77,157.87,158.28,52390266
88,2023-03-24,158.86,160.34,157.85,160.25,59256343
89,2023-03-23,158.83,161.5501,157.68,158.93,67622060
90,2023-03-22,159.3,162.14,157.81,157.83,75701811
91,2023-03-21,157.32,159.4,156.54,159.28,73938285
92,2023-03-20,155.07,157.82,154.15,157.4,73641415
93,2023-03-17,156.08,156.74,154.28,155.0,98944633
94,2023-03-16,152.16,156.46,151.64,155.85,76254419
95,2023-03-15,151.19,153.245,149.92,152.99,77167866
96,2023-03-14,151.28,153.4,150.1,152.59,73695893
